,species_number,common_name,kingdom,family
13803,21576,Lagascea,Plantae,Asteraceae
13804,21577,Myid Bivalve,Animalia,Myidae
13805,21578,Goshawk,Animalia,Accipitridae
13806,21579,Thrip,Animalia,Thripidae
13807,21580,Coccoloba,Plantae,Polygonaceae
13808,21581,Redside Daces,Animalia,Cyprinidae
13809,21582,Water Mite,Animalia,Hydryphantidae
13810,21583,Water Mite,Animalia,Pionidae
13811,21584,Fungi,Fungi,Sclerodermataceae
13812,21585,Woodrush,Plantae,Juncaceae
13813,21586,Leaf Beetle,Animalia,Chrysomelidae
13814,21587,Fungus,Fungi,Elsinoaceae
13815,21588,Winterfat,Plantae,Chenopodiaceae
13816,21589,Liver Fluke,Animalia,Fasciolidae
13817,21591,Ladybird Beetle,Animalia,Coccinellidae
13818,21592,Elaenias,Animalia,Tyrannidae
13819,21595,Soras,Animalia,Rallidae
13820,21596,Cichlid,Animalia,Cichlidae
13821,21597,Tree Swallows,Animalia,Hirundinidae
13822,21598,Starflower,Plantae,Primulaceae
13823,21599,Greasewood,Plantae,Chenopodiaceae
13824,21600,Water Flea,Animalia,Macrothricidae
13825,21601,Grama,Plantae,Poaceae
13826,21602,Dogwinkle,Animalia,Muricidae
13827,21603,Lancelets,Animalia,Branchiostomidae
13828,21604,Bark Beetle,Animalia,Curculionidae
13829,21606,Huckleberry,Plantae,Ericaceae
13830,21607,,Animalia,Hyriidae
13831,21609,Nematode,Animalia,Onchocercidae
13832,21610,Witchhazel,Plantae,Hamamelidaceae
13833,21612,Beet Leaf Miner,Animalia,Anthomyiidae
13834,21614,Brown Lacewings,Animalia,Hemerobiidae
13835,21615,Water Mold,Chromista,Peronosporaceae
13836,21616,Least Killifishes,Animalia,Poeciliidae
13837,21617,,Animalia,Cecidomyiidae
13838,21618,Rove Beetle,Animalia,Staphylinidae
13839,21620,,Animalia,Carabidae
13840,21622,Bark Beetle,Animalia,Curculionidae
13841,21623,Limpet,Animalia,Patellidae
13842,21624,Bivalves,Animalia,Tellinidae
13843,21625,Sponges,Animalia,Halichondriidae
13844,21626,Marine Bivalve,Animalia,Veneridae
13845,21630,Noctuidae Moth,Animalia,Noctuidae
13846,21631,Mock Vervain,Plantae,Verbenaceae
13847,21632,Swampsnakes,Animalia,Colubridae
13848,21633,Polychaete Worm,Animalia,Nereididae
13849,21634,Silkworm,Animalia,Bombycidae
13850,21635,Purple Coneflower,Plantae,Asteraceae
13851,21636,Clearwing Moth,Animalia,Sesiidae
13852,21637,Redstart,Animalia,Muscicapidae
13853,21638,Polychaete Worm,Animalia,Phyllodocidae
13854,21639,,Animalia,Agromyzidae
13855,21640,Cyprinid Fish,Animalia,Cyprinidae
13856,21641,Clam,Animalia,Veneridae
13857,21642,Harp Seal,Animalia,Phocidae
13858,21643,Finch,Animalia,Passeridae
13859,21644,Sea Snail,Animalia,Planaxidae
13860,21645,Razorback Suckers,Animalia,Catostomidae
13861,21646,Shrews,Animalia,Soricidae
13862,21647,Beetle,Animalia,Staphylinidae
13863,21648,Figwort,Plantae,Scrophulariaceae
13864,21650,Climbing Gourami,Animalia,Anabantidae
13865,21651,Fungus,Fungi,Pucciniaceae
13866,21652,,Animalia,Membracidae
13867,21654,Roe Deer,Animalia,Cervidae
13868,21655,Tetra,Animalia,Characidae
13869,21656,Spikedaces,Animalia,Cyprinidae
13870,21658,Red Algae,Plantae,Gracilariaceae
13871,21659,Stokesia,Plantae,Asteraceae
13872,21661,Leafminer Fly,Animalia,Agromyzidae
13873,21662,Leech,Animalia,Hirudinidae
13874,21663,Eeltail Catfishes,Animalia,Bagridae
13875,21664,Catfishes,Animalia,Bagridae
13876,21665,Guavaberry,Plantae,Myrtaceae
13877,21666,Red Algae,Plantae,Chaetangiaceae
13878,21667,Bird's-Foot,Plantae,Fabaceae
13879,21669,Glassfishes,Animalia,Centropomidae
13880,21672,Water Scavenger Beetles,Animalia,Hydrophilidae
13881,21673,Water Boatman,Animalia,Corixidae
13882,21674,Stony Coral,Animalia,Acroporidae
13883,21676,Moth,Animalia,Lymantriidae
13884,21677,Limnephilid Caddisfly,Animalia,Limnephilidae
13885,21678,Threespine Sticklebacks,Animalia,Gasterosteidae
13886,21679,Neem,Plantae,Meliaceae
13887,21680,Green Algae,Plantae,Sphaeropleaceae
13888,21681,Moth,Animalia,Noctuidae
13889,21683,Pacific Newts,Animalia,Salamandridae
13890,21686,Fungi,Fungi,Helotiaceae
13891,21687,Kudzu,Plantae,Fabaceae
13892,21689,,Animalia,Cecidomyiidae
13893,21690,Leaf Cutter Ants,Animalia,Formicidae
13894,21691,Coral,Animalia,Agariciidae
13895,21693,Chukars,Animalia,Phasianidae
13896,21694,Harpacticoid Copepod,Animalia,Ameiridae
13897,21696,Armeria,Plantae,Plumbaginaceae
13898,21697,Dwarf Morning-Glory,Plantae,Convolvulaceae
13899,21698,Wolf Spiders,Animalia,Lycosidae
13900,21700,Cooter Turtles,Animalia,Emydidae
13901,21701,Ghost Shrimps,Animalia,Callianassidae
13902,21702,Fetterbush,Plantae,Ericaceae
13903,21703,Lilliput,Animalia,Unionidae
13904,21704,Copepod,Animalia,Oithonidae
13905,21705,Earwigs,Animalia,Labiduridae
13906,21706,Wrasse,Animalia,Labridae
13907,21707,Shoofly Plant,Plantae,Solanaceae
13908,21709,Bishop,Plantae,Apiaceae
13909,21710,Hardheads,Animalia,Cyprinidae
13910,21711,Crested Flycatchers,Animalia,Tyrannidae
13911,21712,,Animalia,Culicidae
13912,21713,Polychaete,Animalia,Serpulidae
13913,21714,Prigis,Animalia,Eleotridae
13914,21715,Flukes,Animalia,Schistosomatidae
13915,21718,Chaffinches,Animalia,Fringillidae
13916,21719,Nematode,Animalia,Onchocercidae
13917,21720,Green Algae,Plantae,Mesotaeniaceae
13918,21721,Wood Louse,Animalia,Philosciidae
13919,21723,Henbane,Plantae,Solanaceae
13920,21725,Soles,Animalia,Soleidae
13921,21726,Leafminer,Animalia,Gelechiidae
13922,21727,,Animalia,Muscidae
13923,21728,Wild Cucumber,Plantae,Cucurbitaceae
13924,21729,Finches,Animalia,Estrildidae
13925,21730,Kikuyu Grass ,Plantae,Poaceae
13926,21731,Surf Perches,Animalia,Embiotocidae
13927,21732,,Plantae,Rhodomelaceae
13928,21733,Braconid Wasps,Animalia,Braconidae
13929,21735,Midge,Animalia,Chironomidae
13930,21736,White-Toothed Shrews,Animalia,Soricidae
13931,21737,Pigeonwings,Plantae,Fabaceae
13932,21738,Coral,Animalia,Pectiniidae
13933,21739,Filefishes,Animalia,Balistidae
13934,21740,Flatfish,Animalia,Pleuronectidae
13935,21741,Green Algae,Plantae,Coccomyxaceae
13936,21742,Crab,Animalia,Ocypodidae
13937,21743,Leeches,Animalia,Haemopidae
13938,21744,Ponyfishes,Animalia,Leiognathidae
13939,21745,Gastropod,Animalia,Amphibolidae
13940,21747,Damselfly,Animalia,Coenagrionidae
13941,21748,Sweetgum,Plantae,Hamamelidaceae
13942,21749,Stony Corals,Animalia,Caryophylliidae
13943,21750,Cottongrass,Plantae,Cyperaceae
13944,21752,Bittersweet,Plantae,Celastraceae
13945,21753,Snout Beetles,Animalia,Curculionidae
13946,21754,Opossum Shrimp,Animalia,Mysidae
13947,21755,Flukes,Animalia,Diplectanidae
13948,21756,Fungi,Fungi,
13949,21757,Hedge Nettle ,Plantae,Lamiaceae
13950,21758,Sea Squirt,Animalia,Cionidae
13951,21760,Tongavine,Plantae,Araceae
13952,21761,Copepods,Animalia,Pontellidae
13953,21762,Arnica,Plantae,Asteraceae
13954,21763,Bivalve,Animalia,Veneridae
13955,21764,New World Silversides,Animalia,Atherinidae
13956,21766,Midge,Animalia,Cecidomyiidae
13957,21767,Grebes,Animalia,Podicipedidae
13958,21768,Freshwater Catfishes,Animalia,Siluridae
13959,21769,Hackledmesh Weaver Spider,Animalia,Amaurobiidae
13960,21770,Long-Nosed Armadillos,Animalia,Dasypodidae
13961,21771,Bog Lemmings,Animalia,Muridae
13962,21772,Spiny-Headed Worms,Animalia,Tenuisentidae
13963,21773,Beetle,Animalia,Carabidae
13964,21774,Polytrichum Moss,Plantae,Polytrichaceae
13965,21775,Zenaida Doves,Animalia,Columbidae
13966,21776,Dwarf Weaver Spiders,Animalia,Linyphiidae
13967,21777,,Plantae,Ceramiaceae
13968,21778,Pikeperches,Animalia,Percidae
13969,21779,Silverfish,Animalia,Sparidae
13970,21781,Athecate Hydroids,Animalia,Hydractiniidae
13971,21782,True Gobies,Animalia,Gobiidae
13972,21783,Bur-Reed,Plantae,Sparganiaceae
13973,21784,,Animalia,Sarcophagidae
13974,21785,Medusahead,Plantae,Poaceae
13975,21786,Colocasia,Plantae,Araceae
13976,21788,Tortrix Moths ,Animalia,Tortricidae
13977,21789,Shortspine Mojarras,Animalia,Gerreidae
13978,21790,Tunas,Animalia,Scombridae
13979,21791,Tubificid Worm,Animalia,Tubificidae
13980,21792,Goat Fishes,Animalia,Mullidae
13981,21793,Averrhoa,Plantae,Oxalidaceae
13982,21794,Freshwater Mussel,Animalia,Mytilidae
13983,21795,Freshwater Snail,Animalia,Ampullariidae
13984,21796,Rosemary,Plantae,Lamiaceae
13985,21797,Eeltail Catfishes,Animalia,Plotosidae
13986,21798,Rotifer,Animalia,Brachionidae
13987,21799,Stock,Plantae,Brassicaceae
13988,21800,Red Algae,Plantae,Solieriaceae
13989,21801,Lost River Suckers,Animalia,Catostomidae
13990,21802,Thyme,Plantae,Lamiaceae
13991,21804,Melon,Plantae,Cucurbitaceae
13992,21806,Dickcissels,Animalia,Fringillidae
13993,21808,Polychaete,Animalia,Phyllodocidae
13994,21810,,Animalia,Plumatellidae
13995,21811,Water Fleas,Animalia,Chydoridae
13996,21812,Fungi,Fungi,
13997,21813,Canna,Plantae,Cannaceae
13998,21814,Holarctic Skinks,Animalia,Scincidae
13999,21815,Nematode,Animalia,Mermithidae
14000,21816,Water Fleas,Animalia,Leptodoridae
14001,21817,Puncture Vine,Plantae,Zygophyllaceae
14002,21818,Peanut Worms,Animalia,Golfingiidae
14003,21820,Parastic Wasp,Animalia,Encyrtidae
14004,21821,Damselfishes,Animalia,Pomacentridae
14005,21823,Ground Beetles,Animalia,Carabidae
14006,21825,Hitches,Animalia,Cyprinidae
14007,21826,Butterfly Pea,Plantae,Fabaceae
14008,21828,Scale,Animalia,Diaspididae
14009,21830,North American Water Snakes,Animalia,Colubridae
14010,21831,Fourhorn Sculpins,Animalia,Cottidae
14011,21832,Leeches,Animalia,Erpobdellidae
14012,21833,Water Fleas,Animalia,Chydoridae
14013,21834,,Animalia,Lophopodidae
14014,21835,Midges,Animalia,Chironomidae
14015,21836,American Cockroaches,Animalia,Blattidae
14016,21837,Narrow-Mouthed Toads,Animalia,Microhylidae
14017,21839,Bluespot Mullets,Animalia,Mugilidae
14018,21841,Flukes,Animalia,Notocotylidae
14019,21843,Scallop,Animalia,Pectinidae
14020,21844,Carpet Beetles,Animalia,Dermestidae
14021,21845,Indian Flapshell Turtles,Animalia,Trionychidae
14022,21847,Pompanos,Animalia,Carangidae
14023,21848,Scale,Animalia,Diaspididae
14024,21849,Scud,Animalia,Talitridae
14025,21850,Green Algae,Plantae,Oocystaceae
14026,21852,Cutgrass,Plantae,Poaceae
14027,21853,Adderstongue,Plantae,Ophioglossaceae
14028,21854,Moth,Animalia,Gelechiidae
14029,21855,Red Algae,Plantae,Bangiaceae
14030,21858,Fungi,Fungi,Hymenochaetaceae
14031,21859,Knapweed,Plantae,Asteraceae
14032,21860,Chalcidoid Wasps,Animalia,Eurytomidae
14033,21861,Brugmansia,Plantae,Solanaceae
14034,21862,Bulrushes,Plantae,Cyperaceae
14035,21863,Athecate Hydroids,Animalia,Tubulariidae
14036,21865,Savannah Sparrows,Animalia,Fringillidae
14037,21866,Acorn Barnacles,Animalia,Balanidae
14038,21867,Tidepool Johnnies,Animalia,Cottidae
14039,21870,,Animalia,Sciomyzidae
14040,21871,Spider,Animalia,Philodromidae
14041,21872,Mite,Animalia,Acaridae
14042,21873,Robalos,Animalia,Centropomidae
14043,21875,Anemone,Plantae,Ranunculaceae
14044,21876,Yellowwood,Plantae,Fabaceae
14045,21877,Water Fleas,Animalia,Chydoridae
14046,21878,Fintail Stingrays,Animalia,Dasyatidae
14047,21879,Fungi,Fungi,Botryosphaeriaceae
14048,21880,Beetle,Animalia,Chrysomelidae
14049,21881,Varied Buntings,Animalia,Cardinalidae
14050,21882,Aquatic Oligochaete Worm,Animalia,Tubificidae
14051,21883,Starry Flounders,Animalia,Pleuronectidae
14052,21884,Magnolia,Plantae,Magnoliaceae
14053,21885,Leafoller,Animalia,Tortricidae
14054,21886,Senorita Fish,Animalia,Labridae
14055,21887,Priapulid Worm,Animalia,Priapulidae
14056,21889,Atlantic Wolffishes,Animalia,Anarhichadidae
14057,21891,Goodeid Topminnows,Animalia,Goodeidae
14058,21892,Aquatic Sowbug,Animalia,Chaetiliidae
14059,21894,Bears,Animalia,Ursidae
14060,21897,Mite,Animalia,Hydrozetidae
14061,21898,Fungus,Fungi,Ophiostomataceae
14062,21899,Fungi,Fungi,Myxotrichaceae
14063,21900,Minnow,Animalia,Cyprinidae
14064,21901,Synedrella,Plantae,Asteraceae
14065,21902,Wheatgrass ,Plantae,Poaceae
14066,21903,Aquatic Oligochaete Worm,Animalia,Tubificidae
14067,21904,Saltbush,Plantae,Chenopodiaceae
14068,21905,Trumpet-Net Caddisflies,Animalia,Psychomyiidae
14069,21906,Fairy Shrimp,Animalia,Thamnocephalidae
14070,21907,Prairie Dogs,Animalia,Sciuridae
14071,21908,,Animalia,Megascolecidae
14072,21909,Nurse Sharks,Animalia,Orectolobidae
14073,21910,Gammarid Amphipods,Animalia,Ampithoidae
14074,21911,Mite,Animalia,Macronyssidae
14075,21912,Fungi,Fungi,Blastocladiaceae
14076,21913,Bugle,Plantae,Lamiaceae
14077,21914,Moth,Animalia,Crambidae
14078,21917,Ayu,Animalia,Plecoglossidae
14079,21918,Tsetse Fly,Animalia,Glossinidae
14080,21919,Water Fleas,Animalia,Cercopagididae
14081,21921,Indian Mallow,Plantae,Malvaceae
14082,21922,Crab,Animalia,Sesarmidae
14083,21923,Frogs,Animalia,Limnodynastidae
14084,21924,Mite,Animalia,Phytoseiidae
14085,21925,Crocodiles,Animalia,Crocodylidae
14086,21926,Ladybird Beetles,Animalia,Coccinellidae
14087,21927,Telegraphplant,Plantae,Asteraceae
14088,21928,Orchardgrass,Plantae,Poaceae
14089,21929,Quahog,Animalia,Veneridae
14090,21931,Copepods,Animalia,Parastenocarididae
14091,21932,Glechoma,Plantae,Lamiaceae
14092,21934,Devil's Sticktight,Plantae,Asteraceae
14093,21936,Cichlid,Animalia,Cichlidae
14094,21937,Shieldpod,Plantae,Brassicaceae
14095,21941,Brent Geese,Animalia,Anatidae
14096,21942,Tamarisk,Plantae,Tamaricaceae
14097,21943,Asparagus,Plantae,Liliaceae
14098,21944,Okra,Plantae,Malvaceae
14099,21945,Spider Mite,Animalia,Tetranychidae
14100,21946,Jelly Palm,Plantae,Arecaceae
14101,21947,Lancepod,Plantae,Fabaceae
14102,21948,Toadflax,Plantae,Scrophulariaceae
14103,21951,Nematode,Animalia,Trichostrongylidae
14104,21953,Darners,Animalia,Aeshnidae
14105,21954,Rye,Plantae,Poaceae
14106,21956,African Giant Pouched Rats,Animalia,Muridae
14107,21957,Broomweed,Plantae,Asteraceae
14108,21958,Freshwater Catfishes,Animalia,Siluridae
14109,21959,Carp,Animalia,Cyprinidae
14110,21960,Quillwort,Plantae,Isoetaceae
14111,21961,,Animalia,Trogossitidae
14112,21962,Lark Sparrows,Animalia,Fringillidae
14113,21963,Jujube,Plantae,Rhamnaceae
14114,21964,Wildrye,Plantae,Poaceae
14115,21965,Hydroid,Animalia,Campanulariidae
14116,21966,Neon Tetras. Green Tetras. Cardinal Tetras,Animalia,Characidae
14117,21967,Sea Snail,Animalia,Buccinidae
14118,21968,Trahiras,Animalia,Erythrinidae
14119,21969,Wrasse,Animalia,Labridae
14120,21971,Buffalo Fishes,Animalia,Catostomidae
14121,21972,Green Algae,Plantae,Chaetophoraceae
14122,21973,Cassia,Plantae,Fabaceae
14123,21975,Minnow,Animalia,Cyprinidae
14124,21976,Seed Weevil,Animalia,Chrysomelidae
14125,21977,American Thrashers,Animalia,Mimidae
14126,21979,Black Sea Basses,Animalia,Serranidae
14127,21980,Sage Thrashers,Animalia,Sturnidae
14128,21981,Knight's-Spur,Plantae,Ranunculaceae
14129,21984,Swallow-Wort,Plantae,Asclepiadaceae
14130,21985,Lace Bug,Animalia,Tingidae
14131,21987,Crested Gobies,Animalia,Gobiidae
14132,21988,Flatheads,Animalia,Ictaluridae
14133,21989,Brown Algae,Chromista,Sargassaceae
14134,21991,Seagrass,Plantae,Hydrocharitaceae
14135,21992,Fungi,Fungi,Polyporaceae
14136,21993,Mussel,Animalia,Unionidae
14137,21994,Mirid Bug,Animalia,Miridae
14138,21995,Bowfin,Animalia,Amiidae
14139,21996,Mountain Misery,Plantae,Rosaceae
14140,21997,Carps,Animalia,Cyprinidae
14141,21998,Mussel,Animalia,Unionidae
14142,21999,Civet,Animalia,Viverridae
14143,22001,,Animalia,Dynastidae
14144,22002,Squid,Animalia,Loliginidae
14145,22003,Pacific Giant Salamanders,Animalia,Dicamptodontidae
14146,22004,,Animalia,Majidae
14147,22005,Mite,Animalia,Alicorhagiidae
14148,22007,Wood Ants,Animalia,Formicidae
14149,22008,,Animalia,Tenebrionidae
14150,22009,,Plantae,Paranemataceae
14151,22011,Coffeebean Snails,Animalia,Ellobiidae
14152,22012,Yellowthroats,Animalia,Fringillidae
14153,22015,Isopods,Animalia,Cymothoidae
14154,22016,Pipewort,Plantae,Eriocaulaceae
14155,22017,Gizzard Shads,Animalia,Clupeidae
14156,22018,Legume,Plantae,Fabaceae
14157,22019,Dimocarpus,Plantae,Sapindaceae
14158,22020,Spiny Lobsters,Animalia,Palinuridae
14159,22022,Fungi,Fungi,Venturiaceae
14160,22023,Green Algae,Plantae,Zygnemataceae
14161,22024,Stiff-Tailed Ducks,Animalia,Anatidae
14162,22025,Luffa,Plantae,Cucurbitaceae
14163,22026,Gammarid Amphipod,Animalia,Platyischnopidae
14164,22027,Jimmyweed,Plantae,Asteraceae
14165,22029,Flounder,Animalia,Pleuronectidae
14166,22030,Sassabies,Animalia,Bovidae
14167,22031,Nematode,Animalia,Linhomoeidae
14168,22032,Apple Snail,Animalia,Ampullariidae
14169,22033,Oleaster,Plantae,Elaeagnaceae
14170,22034,Freshwater Snail,Animalia,Hydrobiidae
14171,22035,Towhees,Animalia,Fringillidae
14172,22036,Mysid,Animalia,Mysidae
14173,22037,Walnut,Plantae,Juglandaceae
14174,22039,Penaeid Shrimps,Animalia,Penaeidae
14175,22040,Tigerfishes,Animalia,Teraponidae
14176,22041,Earthworm,Animalia,Megascolecidae
14177,22042,Fungi,Fungi,Nectriaceae
14178,22043,Moth,Animalia,Arctiidae
14179,22045,Mexican Orange,Plantae,Rutaceae
14180,22046,,Animalia,Entamoebidae
14181,22047,Dark Fishfly,Animalia,Corydalidae
14182,22048,Sheetweb Weaver Spider,Animalia,Linyphiidae
14183,22049,Moth,Animalia,Crambidae
14184,22050,Leeches,Animalia,Glossiphoniidae
14185,22051,Pencilflower ,Plantae,Fabaceae
14186,22052,Venus' Slipper,Plantae,Orchidaceae
14187,22053,Bluestem,Plantae,Poaceae
14188,22055,,Animalia,Asterinidae
14189,22056,Elephant's Ear,Plantae,Araceae
14190,22057,Moth,Animalia,Arctiidae
14191,22058,Red Algae,Plantae,Cryptonemiaceae
14192,22059,Fruit Fly,Animalia,Tephritidae
14193,22061,Xanthium,Plantae,Asteraceae
14194,22063,Slippersnail,Animalia,Calyptraeidae
14195,22064,Tubificid Worm,Animalia,Tubificidae
14196,22065,Anacardium,Plantae,Anacardiaceae
14197,22066,Sea Ravens,Animalia,Cottidae
14198,22067,Pigweed,Plantae,Chenopodiaceae
14199,22068,Dwarf Weaver Spider,Animalia,Linyphiidae
14200,22069,Bishops,Animalia,Passeridae
14201,22071,,Animalia,Calliphoridae
14202,22072,Fungi,Fungi,Mycosphaerellaceae
14203,22073,Beetle,Animalia,Anobiidae
14204,22074,Bobwhites,Animalia,Odontophoridae
14205,22076,Springparsley,Plantae,Apiaceae
14206,22079,Planthopper,Animalia,Delphacidae
14207,22080,Buteonine Hawks,Animalia,Accipitridae
14208,22081,Straight-Snouted Weevils,Animalia,Brentidae
14209,22082,Frog,Animalia,Ranidae
14210,22083,Marsh Crabs,Animalia,Grapsidae
14211,22084,,Animalia,Moniligastridae
14212,22085,Titi,Plantae,Cyrillaceae
14213,22086,Wasp,Animalia,Vespidae
14214,22087,Ant,Animalia,Formicidae
14215,22088,Sweet Fern,Plantae,Myricaceae
14216,22092,Chinese Softshell Turtle,Animalia,Trionychidae
14217,22093,Suckermouth Catfishes,Animalia,Loricariidae
14218,22094,Tropical Sea Snail,Animalia,Muricidae
14219,22097,Perch-Like Fishes,Animalia,Percidae
14220,22098,Weevil,Animalia,Curculionidae
14221,22099,Trout-Perches,Animalia,Percopsidae
14222,22100,Wall Lizards,Animalia,Lacertidae
14223,22101,Baby's-Breath,Plantae,Caryophyllaceae
14224,22102,Mourning Warblers,Animalia,Fringillidae
14225,22103,Mud Crabs,Animalia,Panopeidae
14226,22104,Nematode,Animalia,Tripylidae
14227,22105,Pricklebacks,Animalia,Stichaeidae
14228,22106,Phantom Midges,Animalia,Chaoboridae
14229,22107,Enchytraeid Worm,Animalia,Enchytraeidae
14230,22108,Sawgrass,Plantae,Cyperaceae
14231,22110,Scud,Animalia,Hyalidae
14232,22111,Osmunda,Plantae,Osmundaceae
14233,22112,Damselfishes,Animalia,Pomacentridae
14234,22113,Chiton,Animalia,Ischnochitonidae
14235,22114,Whiteweed,Plantae,Asteraceae
14236,22115,Seastar,Animalia,Asteriidae
14237,22116,Stoneseed,Plantae,Boraginaceae
14238,22117,Thin-Toed Frogs,Animalia,Leptodactylidae
14239,22118,Winged Rockcress,Plantae,Brassicaceae
14240,22119,Gammarid Amphipod,Animalia,Cheluridae
14241,22120,Snail,Animalia,Thiaridae
14242,22122,,Animalia,Majidae
14243,22123,,Animalia,Carabidae
14244,22124,Lichen,Fungi,Ramalinaceae
14245,22125,Scud,Animalia,Ceinidae
14246,22126,Sand-tube Worm,Animalia,Pectinariidae
14247,22127,Snout Moth,Animalia,Pyralidae
14248,22128,Characiform Fish,Animalia,Hemiodontidae
14249,22129,Derris,Plantae,Fabaceae
14250,22130,Bougainvillea,Plantae,Nyctaginaceae
14251,22132,Soles,Animalia,Soleidae
14252,22133,Tent Caterpillar,Animalia,Lasiocampidae
14253,22134,Green Algae,Plantae,Coccomyxaceae
14254,22135,Whiting,Animalia,Sillaginidae
14255,22136,Bluebells,Plantae,Boraginaceae
14256,22137,Scallop,Animalia,Pectinidae
14257,22138,Cutworms,Animalia,Noctuidae
14258,22139,Bristlemallow,Plantae,Malvaceae
14259,22140,Opossum Shrimp,Animalia,Mysidae
14260,22142,Ringed Plovers,Animalia,Charadriidae
14261,22143,Amphipod,Animalia,Talitridae
14262,22144,Mackerels,Animalia,Scombridae
14263,22145,Cottontree,Plantae,Bombacaceae
14264,22146,Melastoma,Plantae,Melastomataceae
14265,22147,Fungi,Fungi,Dematiaceae
14266,22148,Weevil,Animalia,Curculionidae
14267,22150,Ground Beetles,Animalia,Carabidae
14268,22151,Machaeranthera,Plantae,Asteraceae
14269,22154,Common Thrips,Animalia,Thripidae
14270,22156,Nematode,Animalia,Trichostrongylidae
14271,22157,Fungus,Fungi,Ceratobasidiaceae
14272,22158,Orchid ,Plantae,Orchidaceae
14273,22159,Moth,Animalia,Plutellidae
14274,22160,Wallflower,Plantae,Brassicaceae
14275,22161,Great Herons,Animalia,Ardeidae
14276,22162,,Animalia,Ascarididae
14277,22163,,Animalia,Typhloplanidae
14278,22164,Fungi,Fungi,Halosphaeriaceae
14279,22165,Zebra Doves,Animalia,Columbidae
14280,22166,Rock Basses,Animalia,Centrarchidae
14281,22167,Bryum Moss,Plantae,Bryaceae
14282,22169,Gastrotrich,Animalia,Lepidodasyidae
14283,22170,Clam,Animalia,Veneridae
14284,22171,Collembola,Animalia,Sminthurididae
14285,22172,Treebine,Plantae,Vitaceae
14286,22173,Titmice,Animalia,Paridae
14287,22174,Predaceous Diving Beetles,Animalia,Dytiscidae
14288,22175,Ruffed Grouse,Animalia,Phasianidae
14289,22176,Polycheate,Animalia,Sabellidae
14290,22177,Short-Tailed Crab,Animalia,Xanthidae
14291,22178,Tachnid Flies,Animalia,Tachinidae
14292,22180,Polychaete,Animalia,Goniadidae
14293,22181,Freshwater Snail,Animalia,Pleuroceridae
14294,22182,Calanoid Copepod,Animalia,Temoridae
14295,22183,Ironweed,Plantae,Asteraceae
14296,22184,Tortrix Moths,Animalia,Tortricidae
14297,22185,Oligochaete,Animalia,Lumbriculidae
14298,22186,Beetles,Animalia,Silvanidae
14299,22188,Aphid,Animalia,Aphididae
14300,22189,Croton,Plantae,Euphorbiaceae
14301,22190,Grasshopper,Animalia,Acrididae
14302,22192,Brook Sticklebacks,Animalia,Gasterosteidae
14303,22193,Spider Crabs,Animalia,Majidae
14304,22194,Mud Crabs,Animalia,Xanthidae
14305,22195,Chiton,Animalia,Chitonidae
14306,22196,Long-Toe Water Beetles,Animalia,Dryopidae
14307,22197,Water Mite,Animalia,Unionicolidae
14308,22198,Leafhopper,Animalia,Cicadellidae
14309,22199,Aphids,Animalia,Aphididae
14310,22200,Lace Bug,Animalia,Tingidae
14311,22201,Ensatinas,Animalia,Plethodontidae
14312,22202,Blue-Green Algae,Monera,Nostocaceae
14313,22203,Ant,Animalia,Formicidae
14314,22204,Moth,Animalia,Crambidae
14315,22205,Water Mite,Animalia,Hygrobatidae
14316,22206,,Animalia,Lumbricidae
14317,22207,Echinoderm,Animalia,Toxopneustidae
14318,22208,Pugnose Minnows,Animalia,Cyprinidae
14319,22209,Chestnut,Plantae,Fagaceae
14320,22210,Common Thrips,Animalia,Thripidae
14321,22211,Squirrelfishes,Animalia,Holocentridae
14322,22212,Beetle,Animalia,Bostrichidae
14323,22213,Crowned Sparrows,Animalia,Fringillidae
14324,22214,Kalanchoe,Plantae,Crassulaceae
14325,22216,Bryozoan,Animalia,Scrupocellariidae
14326,22217,New Zealand Smelts,Animalia,Retropinnidae
14327,22220,Anthomyiid Flies,Animalia,Anthomyiidae
14328,22221,Ground Beetle,Animalia,Carabidae
14329,22222,Elephant Fishes,Animalia,Mormyridae
14330,22223,Conch,Animalia,Strombidae
14331,22224,Bugloss,Plantae,Boraginaceae
14332,22226,Antarctic Blennies,Animalia,Nototheniidae
14333,22227,Beavers,Animalia,Castoridae
14334,22228,Sand Dollars,Animalia,Dendrasteridae
14335,22229,,Animalia,Clavelinidae
14336,22230,Finger-Net Caddisflies,Animalia,Philopotamidae
14337,22231,Sponges,Animalia,Grantiidae
14338,22232,Polychaete,Animalia,Spionidae
14339,22233,,Animalia,Panagrolaimidae
14340,22234,Murainagrass ,Plantae,Poaceae
14341,22237,Bivalves,Animalia,Lasaeidae
14342,22238,Gnasthostomulid,Animalia,Gnathostomulidae
14343,22239,Red Algae,Plantae,Corallinaceae
14344,22240,Timothy,Plantae,Poaceae
14345,22241,Weevil,Animalia,Curculionidae
14346,22242,Isopod,Animalia,Idoteidae
14347,22243,Earthworm,Animalia,Glossoscolecidae
14348,22244,Yellowtails,Animalia,Carangidae
14349,22245,Sea Cucumbers,Animalia,Holothuriidae
14350,22247,Peppertree,Plantae,Anacardiaceae
14351,22248,Chaff Flower ,Plantae,Amaranthaceae
14352,22249,Pronghorns,Animalia,Antilocapridae
14353,22250,Caddisfly,Animalia,Goeridae
